id;label;icon;text
1;Kids Optimization;EXE payment;Checking Account
2;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina;Station
3;parsing Investment Account;Branding Dynamic black;yellow
4;Books Generic;robust withdrawal generate;Garden open-source hybrid
5;Solomon Islands Dollar;Personal Loan Account HTTP;schemas Specialist China
6;quantify multi-byte;interface Cotton Robust;user-centric Infrastructure
7;Managed Dobra application;Fantastic;Liechtenstein Buckinghamshire monetize
8;Direct;Small Frozen Salad bypassing;time-frame Quality
9;Borders Borders Practical;methodical;Pakistan
10;parse;neural Wooden Optimization;Tasty Rubber Car mindshare EXE
